Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,10uF,
C3,0603,1,100pf,
"C4, C5, C6",0603,3,100nF,
C7,0603,1,0.01uf,
C8,0805,1,4.7uF,
C9,0805,1,1uF,
"D1, D2",D_SOD-123,2,D,
"D3, D4",D_SOD-123,2,1N4148,
D5,LED_D3.0mm_Clear,1,LED,
"In1, Out1, inOut1",jack3.5vertical,3,Audio-Jack-3,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Power Input,
Q1,SOT-23-3,1,MMBT3904,
"R1, R2",0603,2,10r,
R10,0603,1,15k,
"R11, R5, R8",0603,3,10k,
"R12, R13",0603,2,1k,
"R3, R4",0603,2,100k,
R6,0603,1,2k,
R7,0603,1,3.3k,
R9,0603,1,4.7k,
"RV1, RV2",PotGndPin1,2,500k,
SW1,colader,1,SW_SPDT,
U1,SOP-14,1,TL074,
U2,SOP-8_3.76x4.96mm_P1.27mm,1,LM555xN,
