Designator,Mid X,Mid Y,Rotation,Layer
C1,104.394,-110.744,0.0,bottom
C2,114.554,-110.998,0.0,bottom
C3,113.03,-125.3755,90.0,bottom
C4,116.078,-103.2775,90.0,bottom
C5,105.156,-99.06,90.0,bottom
C6,105.664,-69.85,270.0,bottom
C7,107.696,-73.66,90.0,bottom
C8,110.998,-73.66,270.0,bottom
C9,104.14,-101.854,180.0,bottom
D1,99.696,-110.744,0.0,bottom
D2,109.856,-110.744,0.0,bottom
D3,116.078,-95.886,270.0,bottom
D4,110.744,-69.342,270.0,bottom
D5,101.5492,-142.4178,0.0,top
In1,110.1298,-128.651,270.0,top
J1,101.854,-115.824,270.0,bottom
Out1,104.25,-137.8,90.0,top
Q1,99.6895,-98.806,180.0,bottom
R1,98.044,-107.696,270.0,bottom
R10,100.9885,-77.47,0.0,bottom
R11,108.1005,-104.648,0.0,bottom
R12,99.06,-142.3435,90.0,bottom
R13,114.7045,-131.318,180.0,bottom
R2,115.824,-107.442,270.0,bottom
R3,100.838,-103.5285,270.0,bottom
R4,99.06,-103.5285,90.0,bottom
R5,107.696,-69.342,90.0,bottom
R6,101.7524,-151.6634,90.0,bottom
R7,99.2124,-148.6916,270.0,bottom
R8,111.4025,-104.648,0.0,bottom
R9,104.7515,-103.886,0.0,bottom
RV1,109.5806,-65.5724,90.0,top
RV2,109.7838,-94.5538,90.0,top
SW1,102.1588,-107.4928,90.0,top
U1,110.744,-100.37572,180.0,bottom
U2,101.854,-71.882,270.0,bottom
inOut1,104.22,-148.9,90.0,top
