Designator,Footprint,Quantity,Value,LCSC Part #
"AudioIn1, AudioOut1",AudioJack_3.5mm,2,AudioJack2_SwitchT,
"C1, C2",0805,2,22uF,C49678
"C10, C12, C15, C19",0603,4,2.2nF,C107043
"C11, C13, C17, C3, C4, C8, C9",0603,7,100nF,C91183
C14,0603,1,330nF,C107070
C16,0603,1,15nF,C2210963
"C18, C7",0603,2,1uF,C105174
C20,0603,1,4.7nF,C115060
C21,0603,1,10nF,C115056
C22,0603,1,68pF,C519457
C5,0603,1,220nF,C97857
C6,0603,1,47pF,C105622
"D2, D3",D_SOD-123,2,1N4001,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,IDC_2x05,C706914
JP1,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,1,Jumper_2_Bridged,
"LEVEL1, REPEATS1",Potentiometer_RV09,2,B10k,
"R1, R16",0603,2,1M,C105578
"R10, R11, R12, R13, R14, R15, R4, R8",0603,8,10k,C116677
"R17, R20, R21, R3, R6",0603,5,100k,C14675
R18,0603,1,68k,C114633
"R19, R7",0603,2,20k,C105575
"R22, R23",0603,2,10r,C116677
R5,0603,1,2.7k,C114612
R9,0603,1,1k,C22548
TIME1,Potentiometer_RV09,1,B100k,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,TL074,C107644
U2,SOP-16_4.55x10.3mm_P1.27mm,1,PT2399,C126407
U3,TO-252-2,1,L7805,C310413
