Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D4.0mm_P1.50mm,1,10uF,
C10,0603,1,0.1uF,
C2,0603,1,470p,
"C3, C4, C5, C8, C9",0603,5,100nF,
"C6, C7",0805,2,1uF,
"ClckIn1, clckOut1, cvOut1, gateout1",jack3.5verticalTSTN,4,AudioJack2_SwitchT,
"ClckSel1, largoSeq1",colader,2,SW_SPDT,
"D1, D2",D_SOD-123,2,D,
"D10, D15, D16, D21, D22, D3, D4, D6, D9, Dg1",D_SOD-123,10,D_Schottky,
"D13, D14, D19, D20, D25, D26, D8, Dp1",D_SOD-123,8,1N4148,
D5,LED3mm,1,LedClk,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"R10, R11",0603,2,1k,
"R12, R13, R14, R15, R16, R17, R18, R19, Rlp1",0603,9,10k,
"R2, R23, R3, R6, R7, R8, R9",0603,7,100k,
"R20, R21",0603,2,10r,
R22,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470k,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
"RV1, RV2, RV3, RV4, RV5, RV6, RV7, Rp1",PotGndPin1,8,R_Potentiometer,
SW1,SW_Push_5.8,1,SW_Push,
"SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Push_5.8,8,SW_SPST,
U1,tl074,1,HEF4093B,
U2,tl074,1,TL074,
U3,SOP-16_3.9x9.9mm_P1.27mm,1,4017,
U5,TO-252-2,1,L7805,C310413
"atten1, clkPot1",PotGndPin1,2,100k,
"lp1, lp2, lp3, lp4, lp5, lp6, lp7, lp8",LED3mm,8,LED,
