Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C5",CP_Radial_D5.0mm_P2.00mm,3,10uF,
"C11, C12, C13, C14, C6, C7, C8, C9",0603,8,100nF,
"C2, C3, C4",0603,3,1nF,
"CUTCV1, CUTCV2, CUTOFF1, Res1",Pot-bourns-alpha,4,100k,
"D1, D2, D3, D4, D5, D6",D_SOD-123,6,1N4148,
"D7, D8",D_SOD-123,2,D,
"FB1, FB2",0805,2,10R,
"J1, J9",Thonkiconn,2,FilterCV1,
J2,Thonkiconn,1,FilterOut1,
J5,Thonkiconn,1,FilterIn1,
J8,IDC-Header_2x05_P2.54mm_Vertical,1,Power Input,
"Q1, Q2",SOT-23-BEC,2,BC559,
"Q3, Q4",BC548tht,2,BC559,
"R1, R17, R2, R20, R5, R6",0603,6,100k,
"R10, R11, R3, R4",0603,4,470,
"R12, R15, R8",0603,3,1k,
"R13, R14, R18",0603,3,2.2k,
"R16, R22",0603,2,82k,
R19,0603,1,33k,
R21,0603,1,56k,
"R7, R9",0603,2,1.8k,
"ResLv1, ResVol1",Potentiometer_Bourns_3386C_Horizontal,2,10k,
SW1,SW_DPDT_Toggle,1,Hpass/Lpass Switch,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,LM13700,
U2,SOP-8_3.76x4.96mm_P1.27mm,1,TL072,
