Designator,Mid X,Mid Y,Rotation,Layer
C1,56.16,-139.35,180.0,bottom
C10,38.21,-111.804888,270.0,bottom
C11,69.32,-101.2225,90.0,bottom
C12,42.1075,-119.0,180.0,bottom
C13,37.96,-105.6025,270.0,bottom
C14,48.7825,-111.55,0.0,bottom
C2,60.6475,-98.38,0.0,bottom
C3,54.49,-72.8125,90.0,bottom
C4,63.9475,-110.09,180.0,bottom
C5,70.19,-114.41,90.0,bottom
C6,69.2,-104.7025,90.0,bottom
C7,37.94,-102.0625,270.0,bottom
C8,59.0875,-111.61,0.0,bottom
C9,68.0375,-119.5,180.0,bottom
CUTCV1,48.91,-136.07,90.0,top
CUTCV2,66.72,-136.07,90.0,top
CUTOFF1,57.55,-93.87,90.0,top
D1,71.24,-66.54,90.0,bottom
D2,68.0,-71.545,90.0,bottom
D3,65.4,-71.4975,270.0,bottom
D4,68.72,-66.56,270.0,bottom
D5,66.12,-66.56,270.0,bottom
D6,63.52,-66.56,270.0,bottom
D7,67.97,-117.32,0.0,bottom
D8,42.06,-116.94,0.0,bottom
FB1,67.98,-121.58,180.0,bottom
FB2,42.22,-121.05,0.0,bottom
J1,49.916666,-144.3,0.0,top
J2,69.409998,-144.3,0.0,top
J5,40.17,-144.3,0.0,top
J8,49.96,-116.64,270.0,bottom
J9,59.663332,-144.3,0.0,top
Q1,44.0825,-87.4,0.0,bottom
Q2,39.3675,-87.06,180.0,bottom
Q3,39.13,-72.1,270.0,bottom
Q4,50.23,-70.63,270.0,bottom
R1,43.2375,-108.52,180.0,bottom
R10,59.2525,-66.45,0.0,bottom
R11,59.0475,-109.74,180.0,bottom
R12,71.1825,-140.57,180.0,bottom
R13,64.1875,-79.67,0.0,bottom
R14,48.735,-97.0975,90.0,bottom
R15,59.05,-105.4025,270.0,bottom
R16,44.6675,-71.26,0.0,bottom
R17,39.41,-97.0075,90.0,bottom
R18,44.6675,-68.53,0.0,bottom
R19,69.38,-97.13,270.0,bottom
R2,37.37,-97.01,270.0,bottom
R20,44.8925,-75.35,180.0,bottom
R21,42.59,-93.44,0.0,bottom
R22,44.8925,-77.43,180.0,bottom
R3,51.78,-105.93,90.0,bottom
R4,38.71,-93.44,180.0,bottom
R5,59.24,-64.22,0.0,bottom
R6,51.835,-97.0975,90.0,bottom
R7,42.51,-97.0075,270.0,bottom
R8,67.6775,-140.57,0.0,bottom
R9,45.61,-97.0075,90.0,bottom
Res1,48.85,-65.3,90.0,top
ResLv1,65.96,-89.69,0.0,bottom
ResVol1,71.35,-84.63,180.0,bottom
SW1,64.46,-54.74,90.0,top
U1,44.035,-103.625,90.0,bottom
U2,63.77,-103.52,270.0,bottom
