Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0603,2,120pF,
"C2, C3, C4, C5",0603,4,100nF,
"D1, D2",LED_D3.0mm,2,LED,
"D3, D4",D_SOD-123,2,1N4001,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
Q1,SOT-23-BEC,1,BC559,
"R1, R2",0603,2,10k,
"R10, R3, R4, R7",0603,4,20k,
R11,0603,1,47k,
R12,0603,1,680,
"R5, R6",0603,2,10r,
"R8, R9",0603,2,100,
"RV1, RV2",Pot-bourns-alpha,2,100k,
U1,SOP-8_3.76x4.96mm_P1.27mm,1,TL072,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,LM13700,
"audioIn1, audioOut1, cv1, cv2",jackEuroTSTN,4,AudioJack2_SwitchT,
