Designator,Mid X,Mid Y,Rotation,Layer
C1,124.6075,-63.8375,0.0,bottom
C2,112.8375,-103.6,180.0,bottom
C3,116.1625,-103.7,0.0,bottom
C4,120.5,-71.3625,270.0,bottom
C5,128.0,-66.9625,90.0,bottom
C6,127.7,-75.2375,90.0,bottom
D1,112.3,-62.325,270.0,top
D2,112.2,-87.325,270.0,top
D3,127.7,-115.55,90.0,bottom
D4,127.3,-83.35,90.0,bottom
J1,125.84,-91.74,180.0,bottom
Q1,118.1375,-66.1,180.0,bottom
R1,113.8875,-57.3,180.0,bottom
R10,124.7825,-61.9375,0.0,bottom
R11,124.7125,-74.2,0.0,bottom
R12,112.0875,-138.7,180.0,bottom
R2,117.5875,-88.3,180.0,bottom
R3,117.6875,-81.4,180.0,bottom
R4,124.4125,-57.4,180.0,bottom
R5,127.7,-111.0875,270.0,bottom
R6,125.3,-83.9125,90.0,bottom
R7,112.3,-126.7,0.0,bottom
R8,112.3,-128.3,180.0,bottom
R9,119.1,-94.4,270.0,bottom
RV1,122.2,-59.95,90.0,top
RV2,122.2,-84.6,90.0,top
U1,124.395,-69.1375,270.0,bottom
U2,114.625,-97.245,180.0,bottom
audioIn1,117.2,-131.4,270.0,top
audioOut1,117.2,-142.2,270.0,top
cv1,117.2,-110.1,270.0,top
cv2,117.2,-120.8,270.0,top
