Designator,Mid X,Mid Y,Rotation,Layer
C1,122.833,-83.7946,0.0,bottom
C10,129.55,-107.6625,270.0,bottom
C2,108.7385,-110.5916,0.0,bottom
C3,99.0854,-115.6981,270.0,bottom
C4,111.1504,-115.9256,90.0,bottom
C5,123.6483,-44.2722,180.0,bottom
C6,100.9357,-133.1468,0.0,bottom
C7,100.7833,-122.4534,0.0,bottom
C8,116.7638,-105.0544,270.0,bottom
C9,128.25,-64.1125,270.0,bottom
ClckIn1,72.3184,-137.5918,90.0,top
ClckSel1,117.6528,-69.469,90.0,top
D1,81.9414,-133.096,0.0,bottom
D10,74.7532,-62.1144,0.0,bottom
D13,109.5004,-54.1528,180.0,bottom
D14,74.7014,-59.5998,0.0,bottom
D15,109.5502,-71.501,180.0,bottom
D16,74.8782,-81.5848,0.0,bottom
D19,109.5238,-73.9394,180.0,bottom
D2,114.0714,-131.5466,0.0,bottom
D20,74.8284,-79.1718,0.0,bottom
D21,109.3724,-91.44,180.0,bottom
D22,74.6506,-102.4382,0.0,bottom
D25,109.3734,-93.853,180.0,bottom
D26,74.7024,-100.0252,0.0,bottom
D3,71.9074,-123.2916,270.0,bottom
D4,96.4438,-124.1562,90.0,bottom
D5,122.682,-124.4854,0.0,top
D6,97.609,-43.2334,0.0,bottom
D8,109.2972,-34.6456,180.0,bottom
D9,97.5604,-61.4426,0.0,bottom
Dg1,74.3448,-42.432,0.0,bottom
Dp1,74.3682,-40.019,0.0,bottom
J1,88.9508,-127.5588,90.0,bottom
R10,125.4271,-133.9596,0.0,bottom
R11,128.1684,-54.2798,180.0,bottom
R12,127.2286,-124.1533,270.0,bottom
R13,102.0845,-34.7472,180.0,bottom
R14,102.9481,-54.2798,180.0,bottom
R15,79.9611,-53.721,180.0,bottom
R16,102.8211,-74.7014,180.0,bottom
R17,79.6271,-74.549,180.0,bottom
R18,103.4288,-94.2086,180.0,bottom
R19,80.6469,-94.0054,180.0,bottom
R2,115.8259,-108.5596,180.0,bottom
R20,96.3676,-128.8053,270.0,bottom
R21,71.9582,-127.5569,270.0,bottom
R22,126.8222,-79.1972,180.0,bottom
R23,127.9,-107.65,270.0,bottom
R3,126.6425,-100.9904,0.0,bottom
R4,119.111,-75.6158,0.0,bottom
R6,102.1315,-110.5916,180.0,bottom
R7,105.5389,-112.014,0.0,bottom
R8,111.0723,-112.9284,0.0,bottom
R9,120.3179,-44.2468,0.0,bottom
RV1,109.5298,-49.0624,90.0,top
RV2,109.5102,-68.534,90.0,top
RV3,86.9804,-68.5086,90.0,top
RV4,109.5668,-88.7118,90.0,top
RV5,87.0716,-88.7118,90.0,top
RV6,109.4282,-108.346,90.0,top
RV7,87.0312,-108.3612,90.0,top
Rlp1,79.883,-34.7472,180.0,bottom
Rp1,86.91,-49.0776,90.0,top
SW1,124.6886,-41.275,180.0,top
SW2,95.5548,-46.0502,0.0,top
SW3,72.9742,-46.0883,0.0,top
SW4,95.5548,-66.1162,0.0,top
SW5,72.9996,-66.1162,0.0,top
SW6,95.5548,-85.9282,0.0,top
SW7,72.9742,-86.0425,0.0,top
SW8,95.5294,-105.7402,0.0,top
SW9,73.025,-105.7148,0.0,top
U1,122.4788,-105.5116,0.0,bottom
U2,104.9274,-117.2718,0.0,bottom
U3,122.896,-60.7314,0.0,bottom
U5,105.2422,-127.0508,0.0,bottom
atten1,125.1204,-98.0948,90.0,top
clckOut1,93.0726,-137.588,90.0,top
clkPot1,125.1,-121.25,90.0,top
cvOut1,114.6922,-137.5918,90.0,top
gateout1,107.141,-137.588,90.0,top
largoSeq1,127.7239,-51.1048,270.0,top
lp1,75.1078,-36.1696,0.0,top
lp2,75.1078,-54.8386,0.0,top
lp3,75.0824,-75.5396,0.0,top
lp4,75.1078,-94.8944,0.0,top
lp5,97.7138,-36.1696,0.0,top
lp6,97.6884,-54.8132,0.0,top
lp7,97.7138,-75.565,0.0,top
lp8,97.7138,-94.869,0.0,top
