Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C4, C8, C9",0603,6,10nF,
"C10, C3, C7",0603,3,68nF,
C11,0603,1,4.7nF,
C13,0805,1,4.7uF,
"D1, D4",D_SOD-123,2,D,
"D2, D3, D5, D6, D7, D8",D_SOD-123,6,D_Schottky,
J5,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"J6, chrdCv1, invCv1, voct1",jackEuroTSTN,4,AudioJack2_Ground,
"R1, R7, R9",0603,3,100k,
"R10, R13",0603,2,3.9k,
R11,0603,1,499k,
"R12, R14, R16, R3, R4, R5, R6, R8",0603,8,1k,
R15,0603,1,220r,
"R17, R18",0603,2,10r,
R2,0603,1,100r,
SW1,SW_Push_5.8,1,SW_Push,
SW2,colader,1,SW_SPDT,
U2,SOP-8_3.76x4.96mm_P1.27mm,1,TL072,
XA1,Arduino_Nano_Socket,1,Arduino_Nano_Socket,
"chrd1, inv1, root1",PotGndPin1,3,R_Potentiometer,
"ledForma1, ledNota1, ledSost1",LED_WS2812B,3,NeoPixel_THT,
