Designator,Mid X,Mid Y,Rotation,Layer
C1,63.8,-95.1875,270.0,top
C10,87.1,-119.0125,90.0,top
C11,84.4625,-51.1,0.0,top
C12,77.95,-56.7875,270.0,top
C13,74.5,-139.6875,270.0,top
C2,70.65,-77.0125,90.0,top
C3,61.1125,-134.05,180.0,top
C4,83.55,-56.7375,90.0,top
C7,74.6125,-120.35,180.0,top
C8,70.4375,-59.6,0.0,top
C9,74.8125,-52.5,0.0,top
D1,62.1,-102.75,270.0,top
D2,59.25,-129.6,90.0,top
D3,59.25,-124.75,90.0,top
D4,82.45,-100.95,90.0,top
D5,73.9,-118.2,0.0,top
D6,79.1,-118.2,0.0,top
D7,85.2,-118.3,270.0,top
D8,82.75,-118.3,90.0,top
J5,78.0,-104.3,90.0,bottom
J6,80.7476,-140.3686,0.0,top
R1,68.5875,-134.05,180.0,top
R10,61.65,-59.6625,270.0,top
R11,60.7625,-53.0,180.0,top
R12,60.25,-55.775,270.0,top
R13,77.95,-53.4375,270.0,top
R14,61.85,-55.75,270.0,top
R15,74.65,-135.8625,270.0,top
R16,68.45,-52.55,180.0,top
R17,81.8375,-104.25,0.0,top
R18,63.05,-106.4,0.0,top
R2,64.8125,-134.05,180.0,top
R3,65.35,-95.1875,90.0,top
R4,72.45,-76.9625,270.0,top
R5,85.1,-56.7,270.0,top
R6,78.2125,-120.35,180.0,top
R7,71.8,-121.3125,270.0,top
R8,71.35,-133.6125,90.0,top
R9,72.85,-133.5875,90.0,top
SW1,78.623656,-109.800456,0.0,top
SW2,60.310256,-112.035656,90.0,top
U2,72.65,-56.05,180.0,top
XA1,72.87,-46.2,0.0,bottom
chrd1,75.352856,-73.671456,90.0,top
chrdCv1,80.646056,-126.358856,90.0,top
inv1,75.397856,-96.490856,90.0,top
invCv1,65.441056,-140.280456,270.0,top
ledForma1,74.357456,-112.086456,90.0,top
ledNota1,62.520056,-38.401056,0.0,top
ledSost1,83.475056,-38.374656,0.0,top
root1,75.316656,-50.603456,90.0,top
voct1,65.443456,-126.382856,0.0,top
