Designator,Mid X,Mid Y,Rotation,Layer
AudioIn1,3.4478,-94.3778,0.0,top
AudioOut1,17.1638,-94.3778,0.0,top
C1,13.8,-68.7,180.0,bottom
C10,11.4,-26.1,180.0,bottom
C11,17.4,-19.1,90.0,bottom
C12,3.5759,-44.227,0.0,bottom
C13,17.4,-22.59,90.0,bottom
C14,4.2363,-81.184,180.0,bottom
C15,4.9,-22.5,270.0,bottom
C16,18.9,-12.5,270.0,bottom
C17,4.2109,-79.4568,0.0,bottom
C18,5.5172,-28.606,270.0,bottom
C19,7.9,-28.6,90.0,bottom
C2,8.6294,-82.962,90.0,bottom
C20,2.4572,-28.606,270.0,bottom
C21,17.7186,-43.5399,270.0,bottom
C22,17.2106,-49.8169,90.0,bottom
C3,15.6652,-47.1499,0.0,bottom
C4,3.7283,-45.9542,0.0,bottom
C5,2.8909,-88.2204,180.0,bottom
C6,2.5334,-49.3578,90.0,bottom
C7,4.9,-16.35,270.0,bottom
C8,11.579887,-10.449826,0.0,bottom
C9,11.559887,-8.909826,0.0,bottom
D2,21.4,-70.3,270.0,bottom
D3,21.4,-86.05,90.0,bottom
J1,13.2776,-86.3656,0.0,bottom
LEVEL1,7.4756,-65.7508,90.0,top
R1,2.8909,-89.7704,180.0,bottom
R10,17.3,-12.5,270.0,bottom
R11,3.6275,-42.6014,0.0,bottom
R12,2.45,-23.45,0.0,bottom
R13,2.45,-21.57,0.0,bottom
R14,9.4,-28.6,270.0,bottom
R15,3.9872,-28.606,90.0,bottom
R16,19.2186,-43.5499,90.0,bottom
R17,11.760131,-52.5834,0.0,bottom
R18,11.785131,-54.5734,0.0,bottom
R19,16.1986,-43.5399,270.0,bottom
R20,14.6886,-43.5299,90.0,bottom
R21,15.6906,-49.8169,270.0,bottom
R22,21.0,-74.8875,270.0,bottom
R23,21.1,-90.4,270.0,bottom
R3,2.8909,-86.6704,180.0,bottom
R4,4.0634,-49.3478,270.0,bottom
R5,11.58,-11.99,180.0,bottom
R6,8.385131,-52.5834,180.0,bottom
R7,10.9,-28.6,90.0,bottom
R8,12.4,-28.6,90.0,bottom
R9,18.7606,-49.8169,90.0,bottom
REPEATS1,7.5004,-39.8906,90.0,top
TIME1,7.4756,-14.0,90.0,top
U1,9.7612,-45.878,180.0,bottom
U2,11.11,-19.85,270.0,bottom
U3,4.9708,-72.6936,90.0,bottom
